Test Case ID,Section,Summary,Tester,Date,Result,Notes,Screenshot File
HR-UAT-SETUP-001,A,Demo data loaded,,,Pass,SQL verify + roster confirmed (8 employees FL-CA01 present),
HR-UAT-SHELL-001,A,HR module entry,,,,
HR-UAT-SHELL-002,A,Navigation coverage,,,,
HR-UAT-RBAC-001,B,Employee role screens,,,,
HR-UAT-RBAC-002,B,Manager scope,,,,
HR-UAT-RBAC-003,B,HR Executive no override,,,,
HR-UAT-RBAC-004,B,HR Manager override,,,,
HR-UAT-RBAC-005,B,Live permission matrix,,,,
HR-UAT-RBAC-006,B,Lock last configure,,,,
HR-UAT-RBAC-007,B,ESS self RLS,,,,
HR-UAT-EMP-001,C,Salary component auto-fill,,,,
HR-UAT-EMP-002,C,Import from CRM,,,,
HR-UAT-EMP-003,C,Link CRM login,,,,
HR-UAT-EMP-004,C,Document upload,,,,
HR-UAT-EMP-005,C,Team & CRM assign role,,,,
HR-UAT-ATT-001,D,ESS check-in,,,,
HR-UAT-ATT-002,D,Grace window present,,,,
HR-UAT-ATT-003,D,Late half day,,,,
HR-UAT-ATT-004,D,Mispunch detection,,,,
HR-UAT-ATT-005,D,Manual leave preserved,,,,
HR-UAT-ATT-006,D,Break duration,,,,
HR-UAT-ATT-007,D,Edit rebuilds payroll,,,,
HR-UAT-ATT-008,D,CSV import,,,,
HR-UAT-WF-001,E,Approve sick leave,,,,
HR-UAT-WF-002,E,Comp-off approved,,,,
HR-UAT-WF-003,E,Late exemption,,,,
HR-UAT-WF-004,E,Mispunch correction,,,,
HR-UAT-WF-005,E,Training unpaid days,,,,
HR-UAT-WF-006,E,Reject leave,,,,
HR-UAT-WF-007,E,Approval chain stages,,,,
HR-UAT-PAY-001,F,Register totals,,,,
HR-UAT-PAY-002,F,TV02 golden anchor (Isha),,,,
HR-UAT-PAY-003,F,Override and revert,,,,
HR-UAT-PAY-004,F,Lock cycle,,,,
HR-UAT-PAY-005,F,Locked snapshot,,,,
HR-UAT-PAY-006,F,Export register,,,,
HR-UAT-PAY-007,F,Salary slip PDF,,,,
HR-UAT-PAY-008,F,Accounting batch export,,,,
HR-UAT-PAY-009,F,Calculator RPC parity,,,,
HR-UAT-PAY-010,F,PDF register export,,,,
HR-UAT-PAY-011,F,Batch salary slips PDF,,,,
HR-UAT-PAY-012,F,Reopen with audit reason,,,,
HR-UAT-STAT-001,G,PF cap,,,,
HR-UAT-STAT-002,G,ESIC threshold,,,,
HR-UAT-STAT-003,G,PF off,,,,
HR-UAT-STAT-004,G,Late slab sample,,,,
HR-UAT-LOCK-001,H,Attendance frozen when locked,,,,
HR-UAT-OT-001,H,OT minutes on attendance,,,,
HR-UAT-OT-002,H,OT display mode (TV02 unchanged),,,,
HR-UAT-OT-003,H,OT paid mode,,,,
HR-UAT-P2-001,I,Employee profile fields,,,,
HR-UAT-P2-002,I,Shift working days 1–7,,,,
HR-UAT-P2-003,I,Payroll lifecycle Process → Approve → Lock,,,,
HR-UAT-P2-004,I,Mark paid + reopen,,,,
HR-UAT-P2-005,I,Leave rejection reason,,,,
HR-UAT-P2-006,I,Document verification,,,,
HR-UAT-P2-007,I,Canada payroll (FL-CA01),,,,
HR-UAT-P2-008,I,ESS attendance status,,,,
HR-UAT-P2C-001,J,CRM role sync,,,,
HR-UAT-P2C-002,J,Process snapshot captured,,,,
HR-UAT-P2C-003,J,Canada bracket tax config,,,,
